Symbol,Ticker_NS,Base_Profit_Row,Base_Year,Sales_2025,Dividend_Payout_%,EPS_TTM,Operating_Profit_Base,Operating_Profit_2025,Tax_%,Interest,Market_Cap,Shares,Cost_of_Equity,CAGR,PE,PEG,Dividend_Yield,Dividend Yield,EV,EV_to_Capital_Employed,Inverse_Earning_Yield,Book_Value,Intrinsic_Value,Reverse Beta calculation,Current_Price,Beta from Money Control
HEROMOTOCO,HEROMOTOCO.NS,Operating Profit,2020,40923,75,251.89,4070,5789,26,71,107016.3,20.01,12.79,0.07,21.99,3.01,0.28,3.91729573,107473.3,216.24,18.57,963.27,326.48,0.9301634473,5539,
MRF,MRF.NS,Operating Profit,2020,28152,5,4241.18,2382,4095,25,368,63850.41,0.42,12.99,0.11,37.34,3.26,0.02,0.3078428896,66754.41,22.96,16.3,43592.02,243.46,0.9598811293,158360,
M&M,M&M.NS,Operating Profit,2020,159211,22,110.42,10158,30518,26,9083,408623.57,124.35,12.25,0.25,32.14,1.31,0.08,1.521385237,533871.57,4.24,17.49,619.52,1834.49,0.8499257058,3548.9,
MARUTI,MARUTI.NS,Operating Profit,2020,152913,29,462.24,7355,20224,26,194,469308.72,31.44,8.62,0.22,33.86,1.51,0.09,1.191901663,469308.72,2989.23,23.21,3061.04,2990.91,0.3105497771,15651,
MOTHERSON,MOTHERSON.NS,Operating Profit,2020,113663,16,3.14,4654,10552,21,1882,101882.03,1055.44,17.5,0.18,33.62,1.89,0.16,1.515237445,116526.03,7.59,11.04,33.05,682.66,1.630014859,105.57,
TVSMOTOR,TVSMOTOR.NS,Operating Profit,2020,44089,21,50.19,2264,6575,33,2093,161543.87,47.51,8.48,0.24,69.94,2.94,0.06,0.8278679012,189159.87,6.84,28.77,179,826.98,0.2897473997,3510.5,
TATAMOTORS,TATAMOTORS.NS,Operating Profit,2020,439695,8,57.44,17987,55216,27,5083,254792.76,368.17,,0.25,,,,#DIV/0!,317291.76,5.02,5.75,315.46,,-0.970282318,,
TIINDIA,TIINDIA.NS,Operating Profit,2020,19465,10,33.38,582,1870,36,83,58896.89,19.35,13.93,0.26,91.27,3.47,0.03,0.3172191921,59339.89,128.44,31.73,286.05,172.78,1.099554235,3046.5,
AJANTPHARM,AJANTPHARM.NS,Operating Profit,2020,4648,38,74.44,683,1269,23,21,31952.29,12.49,10.97,0.13,34.11,2.59,0.06,1.520378309,31954.88,1158.21,25.18,303.36,116.9,0.6597325409,2539.4,
ALKEM,ALKEM.NS,Operating Profit,2020,12965,25,191.08,1476,2512,12,122,63273.8,11.96,11.91,0.11,29.46,2.63,0.05,0.9329015049,64336.8,59.19,25.61,1002.38,215.52,0.7994056464,5628.5,
AUROPHARMA,AUROPHARMA.NS,Operating Profit,2020,31724,Not paid in '25,57.89,4849,6551,31,457,60638.79,58.59,12.05,0.06,20.01,3.23,0,#VALUE!,68580.79,8.57,10.47,557.28,475.46,0.8202080238,1158.6,
BIOCON,BIOCON.NS,Operating Profit,2020,15262,6,3.18,1575,3254,24,897,48337.92,133.7,13.46,0.16,118.6,7.59,0.02,0.3871892399,66092.92,3.6,20.31,161.89,486.85,1.029717682,377.15,
CIPLA,CIPLA.NS,Operating Profit,2020,27548,25,66.77,3206,7128,22,62,127495.9,80.78,9.56,0.17,22.64,1.31,0.06,1.459471771,127587.9,502.31,17.9,386.18,614.54,0.4502228826,1511.5,
DIVISLAB,DIVISLAB.NS,Operating Profit,2020,9360,36,86.87,1826,2973,25,3,163634.83,26.55,11.58,0.1,78.32,7.65,0.02,0.5924730219,163636.83,2975.22,55.04,563.87,246.33,0.750371471,6804,
DRREDDY,DRREDDY.NS,Operating Profit,2020,32644,12,68.07,2477,8547,25,283,105341.44,83.46,9.63,0.28,17.57,0.63,0.04,1.027508421,109525.44,25.67,12.81,401.98,866.56,0.4606240713,1196,
GLAND,GLAND.NS,Operating Profit,2020,5616,42,46.75,955,1269,34,42,30921.48,16.48,10.37,0.06,42.18,7.21,0.07,1.640011127,31191.48,109.06,24.58,555.37,101.7,0.5705794948,1972,
GLENMARK,GLENMARK.NS,Operating Profit,2020,13322,7,26.7,1699,2351,25,207,56564.33,28.22,10.7,0.07,71.1,10.59,0.02,0.307189194,58759.33,26.43,24.99,313.57,31.47,0.6196136701,1898.4,
